"filename", "language", "Gradle", "YAML", "Java Properties", "Java", "Markdown", "Batch", "comment", "blank", "total"
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\README.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 11, 43
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\build.gradle", "Gradle", 55, 0, 0, 0, 0, 0, 0, 5, 60
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 39, 29, 22, 90
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\settings.gradle", "Gradle", 1, 0, 0, 0, 0, 0, 0, 2, 3
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\InitializeLogger.java", "Java", 0, 0, 0, 44, 0, 0, 0, 11, 55
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\ServerType.java", "Java", 0, 0, 0, 15, 0, 0, 3, 3, 21
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\extension\sevenwdev\CameraFree.java", "Java", 0, 0, 0, 24, 0, 0, 0, 5, 29
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\BedrockAPI.java", "Java", 0, 0, 0, 80, 0, 0, 0, 16, 96
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\BedrockPlayer.java", "Java", 0, 0, 0, 217, 0, 0, 3, 49, 269
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\CameraFree.java", "Java", 0, 0, 0, 80, 0, 0, 0, 8, 88
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\EventListener.java", "Java", 0, 0, 0, 84, 0, 0, 0, 11, 95
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\Tick.java", "Java", 0, 0, 0, 20, 0, 0, 0, 7, 27
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\api\APIType.java", "Java", 0, 0, 0, 5, 0, 0, 0, 2, 7
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\api\BedrockPluginAPI.java", "Java", 0, 0, 0, 23, 0, 0, 0, 16, 39
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\api\FloodgateBedrockAPI.java", "Java", 0, 0, 0, 105, 0, 0, 0, 19, 124
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\api\GeyserBedrockAPI.java", "Java", 0, 0, 0, 114, 0, 0, 1, 18, 133
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\api\IBedrockPluginAPI.java", "Java", 0, 0, 0, 16, 0, 0, 0, 11, 27
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\camera\CameraController.java", "Java", 0, 0, 0, 172, 0, 0, 7, 36, 215
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\commands\CameraCommand.java", "Java", 0, 0, 0, 43, 0, 0, 0, 3, 46
